,Moving Time (s),Distance (km),Calories,Type,Cluster
301,21289.0,130.3,4064,Ride,1
302,11321.0,73.2,2346,Ride,1
303,18054.0,123.6,3774,Ride,1
304,12927.0,107.8,2413,Ride,1
305,12962.0,104.6,3195,Ride,1
306,9570.0,76.1,2319,Ride,1
307,9775.0,76.2,2329,Ride,1
308,14098.0,104.1,3188,Ride,1
309,9713.0,76.4,2415,Ride,1
310,9386.0,50.4,2446,Ride,1
311,13196.0,73.4,2970,Ride,1
312,13536.0,104.7,3240,Ride,1
313,10564.0,80.3,2503,Ride,1
314,10662.0,80.2,2577,Ride,1
315,13392.0,104.3,3383,Ride,1
316,10239.0,80.1,2535,Ride,1
317,10125.0,80.2,2368,Ride,1
318,13024.0,100.8,2836,Ride,1
319,10360.0,80.4,2371,Ride,1
320,10798.0,80.2,2709,Ride,1
321,10012.0,80.3,2890,Ride,1
322,11345.0,85.4,2739,Ride,1
323,10132.0,80.3,2510,Ride,1
324,11066.0,80.8,2416,Ride,1
325,13507.0,105.9,2980,Ride,1
326,13250.0,111.4,3340,Ride,1
327,16597.0,114.4,3429,Ride,1
328,10417.0,80.3,2437,Ride,1
329,10931.0,80.3,2126,Ride,1
330,10758.0,80.3,2195,Ride,1
331,10995.0,73.9,2971,Ride,1
332,16706.0,107.6,3763,Ride,1
333,24393.0,151.2,4399,Ride,1
334,10727.0,73.2,2532,Ride,1
335,17927.0,144.1,4912,Ride,1
336,13049.0,73.6,2382,Ride,1
337,11521.0,64.3,2137,Ride,1
338,9361.0,60.4,1878,Ride,1
339,9344.0,52.9,1729,Ride,1
340,17656.0,105.5,3642,Ride,1
341,24438.0,146.9,5039,Ride,1
342,14085.0,93.8,2674,Ride,1
343,14313.0,101.6,2662,Ride,1
344,13119.0,76.0,2485,Ride,1
345,15544.0,93.4,3249,Ride,1
346,12536.0,76.3,2349,Ride,1
347,12552.0,76.3,2248,Ride,1
348,24645.0,170.6,5415,Ride,1
349,23250.0,141.0,4315,Ride,1
350,10143.0,52.9,1823,Ride,1
351,12448.0,64.2,2405,Ride,1
352,10065.0,40.3,1979,Ride,1
353,20954.0,139.8,4400,Ride,1
354,13101.0,100.9,3490,Ride,1
355,10208.0,81.0,2550,Ride,1
356,9531.0,80.1,2432,Ride,1
357,12415.0,105.4,2739,Ride,1
358,10625.0,80.5,1977,Ride,1
359,10643.0,90.3,2484,Ride,1
360,13938.0,110.0,3242,Ride,1
