Date,Name,Type,Moving Time,Distance (km),Elevation Gain (m),Avg Moving Speed (kph),Avg Pace (/km),Calories,Best 20min Speed (kph),Best 20min Pace (/km),Running Stress Score,Running Stress Score / h,Avg HR (bpm),HRSS,HRSS / h,Best 20min HR (bpm),Cadence Avg Moving (rpm or spm),Avg Watts (w),Avg Watts / Kilograms (w/kg),Best 20min Power (w),Power Stress Score,Power Stress Score / h,Athlete Settings,Delete
2017-10-10T11:24:39-04:00,Morning Ride,Ride,2:19:41,52,970.3,22,2:43,1302,27.1,2:12,-,-,151,157,67,162,-,129,1.85,180,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-16T12:25:22-04:00,Garmin sin batería,Ride,2:02:16,45.9,822,22.5,2:39,1126,30.9,1:56,-,-,157,156,76,172,-,127,1.82,167,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-17T10:27:07-04:00,Morning Ride,Ride,2:13:18,51.9,968.8,23.3,2:34,1323,30.2,1:59,-,-,156,166,75,173,-,138,1.97,186,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-20T11:40:04-04:00,Morning Ride,Ride,2:14:04,51.9,960.4,23.2,2:35,1310,29.3,2:03,-,-,155,159,71,165,-,139,1.99,178,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-21T10:29:16-04:00,Ride,Ride,3:32:38,54.1,1111.9,14.2,4:14,2134,25.9,2:19,-,-,130,142,37,153,-,168,2.39,235,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-24T11:40:30-04:00,Morning Ride,Ride,2:14:02,50.3,1131.8,22.5,2:40,1330,30.8,1:56,-,-,153,153,69,168,-,135,1.93,189,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-26T12:13:44-04:00,Morning Ride,Ride,2:13:23,51.9,966.7,23.3,2:34,1320,29.5,2:02,-,-,152,153,69,163,-,138,1.97,185,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-28T12:15:15-04:00,Fondo,Ride,4:43:21,110.3,2063.6,22.9,2:37,2756,30.3,1:58,-,-,153,335,70,170,-,137,1.95,201,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-29T11:05:39-04:00,MTB Moreños,Ride,1:45:47,28.4,825.7,15.9,3:46,1296,26.5,2:15,-,-,174,198,110,187,-,196,2.8,269,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-02T06:43:24-04:00,Morning Ride,Ride,1:19:18,31.4,602.3,23.7,2:31,801,31.1,1:55,-,-,150,85,64,157,-,135,1.93,188,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-04T10:39:19-04:00,Morning Ride,Ride,2:49:10,71.1,1113.2,24.7,2:25,1713,30.1,1:59,-,-,156,208,72,166,-,148,2.11,200,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-08T05:35:36-05:00,Morning Ride,Ride,1:29:49,35.7,709,23.8,2:30,946,35.3,1:42,-,-,152,99,66,159,-,140,2,184,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-11T09:27:01-05:00,Morning Ride,Ride,2:57:54,71.1,1117.7,23.8,2:31,1676,30.4,1:58,-,-,150,184,62,161,-,138,1.97,179,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-12T12:18:10-05:00,Lunch Ride,Ride,2:16:36,50.3,1132.5,22,2:43,1323,30.4,1:58,-,-,151,149,65,167,-,129,1.84,190,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-15T05:44:43-05:00,Morning Ride,Ride,1:34:17,35.6,716.8,22.7,2:38,914,30.2,1:59,-,-,149,95,61,157,-,131,1.87,175,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-18T08:35:23-05:00,Morning Ride,Ride,3:09:44,53.8,1080.9,16.6,3:36,2093,26.7,2:14,-,-,140,164,51,158,-,169,2.41,261,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-22T05:48:17-05:00,Morning Ride,Ride,1:32:18,35.7,712.8,23.2,2:35,924,31.2,1:55,-,-,155,110,72,169,-,133,1.9,198,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-25T10:41:11-05:00,Morning Ride,Ride,2:26:26,51.9,978.2,20.8,2:53,1290,28.5,2:06,-,-,145,143,57,164,-,128,1.82,170,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-11-26T08:51:22-05:00,Fondo,Ride,5:09:52,105.2,2616.9,20.1,2:58,2986,31.1,1:55,-,-,150,345,66,170,-,129,1.84,212,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-12-01T05:49:02-05:00,Morning Ride,Ride,1:36:33,35.6,717.6,22.1,2:43,913,30.6,1:57,-,-,148,101,63,163,-,126,1.8,180,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-12-03T11:00:33-05:00,Morning Ride,Ride,2:59:45,68,958.7,21.6,2:46,1533,29.9,2:00,-,-,148,196,62,168,-,124,1.78,178,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
